Index,Dataset,Rod Count Normal,Area Ratio,Intensity Mean,Intensity Variance,STA6*1000
IMG_6410.png,1,0.14102564102564102,0.36852746558235866,0.5084204222406127,0.0719915800901607,0.09523660045763682
IMG_6365.png,1,0.08974358974358974,0.17230740969176414,0.525506268793426,0.055673610630525075,0.14969896376534772
IMG_6497.png,1,0.02564102564102564,0.7899661351165981,0.5456236305621565,0.023082224505472437,0.14912572519142328
IMG_1753.png,1,0.10256410256410256,0.15838651239816914,0.4637158265777183,0.05826891829758567,0.4887764984735618
IMG_1760.png,1,0.47435897435897434,0.19444780709351642,0.4332404888575933,0.061916233258223624,0.667833690970826
IMG_6362.png,1,0.08974358974358974,0.4611449005543372,0.5093786595255032,0.043081724690963295,0.26380989299446467
IMG_1752.png,1,0.10256410256410256,0.16747058584236163,0.4828789791590938,0.046781979491817186,0.19342326489920703
IMG_6495.png,1,0.038461538461538464,0.7559728652263374,0.4751299529883467,0.02541178784444799,0.09450376920122414
IMG_1758.png,1,0.41025641025641024,0.24341298054715713,0.4514602285937127,0.060151182223620106,0.5728013858877812
IMG_6406.png,1,0.07692307692307693,0.5649006685550683,0.48656510049158536,0.036615705730302185,0.17657652944060964
IMG_6501.png,1,0.14102564102564102,0.6827206218564243,0.4314178375425914,0.024355206906479108,0.16943024570869727
IMG_6493.png,1,0.038461538461538464,0.47231088534522175,0.5225364153386975,0.024927143992012502,0.1064429668105864
IMG_6394.png,1,0.11538461538461539,0.5804198266934698,0.5319691806077853,0.039053602250718154,0.10972399137085945
IMG_6490.png,1,0.038461538461538464,0.4814981281435757,0.5438957752504108,0.017698115935856344,0.10366816377291026
IMG_6498.png,1,0.01282051282051282,0.6088081561499772,0.5075274012779164,0.025759342798033564,0.08407273711255019
IMG_1750.png,1,0.07692307692307693,0.43191201538485763,0.45676640901060694,0.03502157122366627,0.21114577405094284
IMG_1757.png,1,0.4358974358974359,0.24919878734672882,0.4527595166621988,0.06007288115555678,0.6907592774783662
IMG_1751.png,1,0.05128205128205128,0.32185382351242964,0.4716757205233208,0.04167686424829691,0.17672048368375964
