Index,Dataset,BREN,CONT,Rod Count,Area Ratio,GRA6,STA6
IMG_6495,1,0.0003340249479115,0.4750747637787692,3,0.7559728652263374,0.7559728652263374,9.4503769201224e-05
IMG_6490,1,0.000338437456747,0.543910984808804,3,0.4814981281435757,0.4814981281435757,0.00010366816377291
IMG_1748,1,0.0007341198833743,0.4873320442897498,8,0.1189232010319559,0.1189232010319559,0.000193621448337136
IMG_6362,1,0.0008380778667336,0.5092900047005432,7,0.4611449005543372,0.4611449005543372,0.000263809892994465
IMG_6410,1,0.0003396399112762,0.5084136766534412,11,0.3685274655823586,0.3685274655823586,9.5236600457637e-05
IMG_6497,1,0.0005005820402708,0.5456284575241297,2,0.7899661351165981,0.7899661351165981,0.000149125725191423
IMG_1755,1,0.0019096409434685,0.4861592509791227,7,0.2206431714275216,0.2206431714275216,0.0007261863311585511
IMG_1760,1,0.0019820581698764,0.4330666009393548,37,0.1944478070935164,0.1944478070935164,0.000667833690970826
IMG_1752,1,0.000652333117945,0.4827817954665342,8,0.1674705858423616,0.1674705858423616,0.000193423264899207
IMG_6365,1,0.0006769620903654,0.5255324912422167,7,0.1723074096917641,0.1723074096917641,0.000149698963765348
IMG_6496,1,0.0005029077181742,0.4935755972866028,1,0.6069840249199817,0.6069840249199817,0.00014088073826453302
IMG_1749,1,0.0007284719553318,0.4847614620533774,8,0.1207430503065423,0.1207430503065423,0.000193815132974755
IMG_6501,1,0.0005503297629116,0.4314196826726886,11,0.6827206218564243,0.6827206218564243,0.000169430245708697
IMG_6493,1,0.0003601406477174,0.5225733677086145,3,0.4723108853452217,0.4723108853452217,0.000106442966810586
IMG_1758,1,0.0018034609256643,0.4513752812175512,32,0.2434129805471571,0.2434129805471571,0.000572801385887781
IMG_1757,1,0.0020504027852329,0.4526894397699763,34,0.2491987873467288,0.2491987873467288,0.000690759277478366
IMG_6504,1,0.0007934681586034,0.4559877591900042,7,0.6720775462962963,0.6720775462962963,0.000278466691839858
IMG_1756,1,0.0018564945122334,0.4804909754874026,7,0.201879343558411,0.201879343558411,0.0006885824415685809
IMG_6498,1,0.0002733570895074,0.5075114798228098,1,0.6088081561499772,0.6088081561499772,8.407273711255001e-05
IMG_6402,1,0.0016550164638434,0.2914035785041586,5,0.6900597168920566,0.6900597168920566,0.00047655791668876603
IMG_6506,1,0.0008230258197594,0.4336038079196626,7,0.4742314671925011,0.4742314671925011,0.000284637081645513
IMG_6394,1,0.0003993215209483,0.5319193487545655,9,0.5804198266934698,0.5804198266934698,0.000109723991370859
IMG_1759,1,0.0020389411216516,0.4610965757751183,4,0.3036376973628957,0.3036376973628957,0.000713204508327241
IMG_1754,1,0.0014675115281488,0.4645882935123129,8,0.15887606489355,0.15887606489355,0.00051875478278415
IMG_1751,1,0.0005953776630174,0.4716081240529278,4,0.3218538235124296,0.3218538235124296,0.00017672048368376
IMG_6491,1,0.0003096469465516,0.532332507160026,3,0.4467193215592135,0.4467193215592135,8.8777422826223e-05
IMG_1753,1,0.0013839795552363,0.4636401953877349,8,0.1583865123981691,0.1583865123981691,0.000488776498473562
IMG_6406,1,0.000595521691736,0.4865082176146669,6,0.5649006685550683,0.5649006685550683,0.00017657652944061
IMG_1750,1,0.0006125704417379,0.4567061449144279,6,0.4319120153848576,0.4319120153848576,0.000211145774050943
IMG_6396,1,0.0004661787824216,0.5591727004370948,23,0.531384491502193,0.531384491502193,0.000129415640907822
IMG_6426,0,0.000454281342999,0.5472268519406147,24,0.379774495918616,0.379774495918616,0.00010611301624641099
IMG_6420,0,0.000598770461723,0.4724991049834006,30,0.2024546364826998,0.2024546364826998,0.000179139103432703
IMG_6361,0,0.0009073931821672,0.5033395621032023,26,0.2672733537402534,0.2672733537402534,0.000235970693321083
IMG_6371,0,0.0006178279800255,0.4833524763546127,30,0.1332134997867933,0.1332134997867933,0.00016508004072695402
IMG_6399,0,0.0006145169110314,0.4142097387448513,8,0.3174166019432261,0.3174166019432261,0.00015513032838559702
IMG_6418,0,0.0005332190586692,0.4976159198328247,40,0.2633359793798733,0.2633359793798733,0.000150049920198263
IMG_6363,0,0.0008733112085148,0.5427812926263454,28,0.2115726463511208,0.2115726463511208,0.000248866699157896
IMG_6383,0,0.0008008732924592,0.3786870634399799,29,0.07802734375,0.07802734375,0.000184939922578344
IMG_6411,0,0.0006062322092042,0.471148520356951,69,0.3609372144554094,0.3609372144554094,0.000168103135181392
